,CMT_SJ1_19Aug24_Gill_S203_L005,CMT_SJ1_20Jun24_Gill_S191_L005,CMT_SJ1_22Jul24_Gill_S197_L005,CMT_SJ2_19Aug24_Gill_S204_L005,CMT_SJ2_20Jun24_Gill_S192_L005,CMT_SJ2_22Jul24_Gill_S198_L005,CMT_SJ3_19Aug24_Gill_S205_L005,CMT_SJ3_20Jun24_Gill_S193_L005,CMT_SJ3_22Jul24_Gill_S199_L005,DAF_SJ1_20Aug24_Gill_S206_L005,DAF_SJ1_21Jun24_Gill_S194_L005,DAF_SJ1_23Jul24_Gill_S200_L005,DAF_SJ2_20Aug24_Gill_S207_L005,DAF_SJ2_21Jun24_Gill_S195_L005,DAF_SJ2_23Jul24_Gill_S201_L005,DAF_SJ3_20Aug24_Gill_S208_L005,DAF_SJ3_21Jun24_Gill_S196_L005,DAF_SJ3_23Jul24_Gill_S202_L005
evm.TU.Chr01.161,44,6,8,31,9,3,5,21,27,1,2,1,4,6,5,11,21,14
evm.TU.Chr01.162,16,25,27,44,17,17,10,15,11,3,7,45,16,11,51,12,20,15
evm.TU.Chr01.163,0,0,0,0,11,0,0,0,8,9,33,0,11,0,18,0,0,2
evm.TU.Chr01.164,0,8,0,10,470,11,6,4,8,1,0,470,1,14,0,5,2,8
evm.TU.Chr01.165,669,0,51,441,0,0,566,495,0,0,521,754,0,0,0,0,0,1
evm.TU.Chr01.166,253,68,284,37,7,28,73,46,9,40,34,7,34,8,65,0,21,19
evm.TU.Chr01.167,0,0,0,3,0,1,7,0,0,2,2,1,0,0,0,0,0,0
evm.TU.Chr01.169,1261,714,573,362,989,599,379,871,440,347,834,878,333,669,1410,538,534,518
evm.TU.Chr01.170,0,6,0,0,3,1,4,2,4,0,3,6,2,1,3,1,24,4
evm.TU.Chr01.171,615,1142,570,324,721,460,676,590,1063,672,696,590,341,414,782,606,61,574
evm.TU.Chr01.172,1133,3648,998,585,2802,1422,2928,1627,987,880,837,943,1142,1455,1869,1924,1500,1813
evm.TU.Chr01.173,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0
evm.TU.Chr01.174,14,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
evm.TU.Chr01.175,0,0,4,0,0,18,0,0,0,2,2,2,1,0,0,8,0,0
evm.TU.Chr01.176,1311,2106,1070,1215,2005,2103,1744,1791,1806,1345,2494,1720,1605,1095,1059,1345,2176,1387
evm.TU.Chr01.177,61,41,27,21,100,91,2,227,13,4,10,46,30,1,22,33,26,9
evm.TU.Chr01.178,62,134,12,6,34,33,18,28,27,20,25,17,22,12,49,11,44,19
evm.TU.Chr01.179,55,93,38,69,59,31,61,29,48,35,78,145,42,23,132,49,39,74
evm.TU.Chr01.180,8,17,0,8,31,8,4,2,41,10,42,0,24,2,2,15,0,11
evm.TU.Chr01.181,2442,2658,5961,2591,2663,4383,9694,3759,3222,3133,3428,5783,2852,1467,1985,2856,6686,3698
evm.TU.Chr01.182,1279,626,154,751,234,839,310,419,103,446,316,339,381,50,90,878,367,506
evm.TU.Chr01.183,339,294,966,593,594,1194,1322,797,0,654,486,1175,642,923,343,991,727,1092
evm.TU.Chr01.185,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,13,0
evm.TU.Chr01.186,398,256,1162,781,13,2441,1530,502,0,1195,684,1526,1422,436,694,735,938,903
evm.TU.Chr01.188,7,45,5,7,21,20,24,121,30,51,80,35,49,0,55,96,22,10
evm.TU.Chr01.189,3784,3244,4023,1934,3809,4652,1925,5215,2945,2412,3539,3594,3061,2387,4010,3054,2233,3969
evm.TU.Chr01.192,419,327,2,181,144,654,0,968,278,219,217,54,411,88,63,180,91,213
evm.TU.Chr01.193,6,1,0,4,9,0,0,3,2,3,0,18,0,2,4,2,17,2
evm.TU.Chr01.194,1018,1841,1753,1173,1865,1383,1504,1334,1642,1112,1572,1512,692,1052,1907,1473,2449,1296
evm.TU.Chr01.195,1869,2356,1758,1716,2770,1986,2257,2160,2912,1799,2135,1056,1583,2555,2029,1657,1414,1873
evm.TU.Chr01.196,2,0,69,0,0,0,0,1,2,0,0,0,0,2,79,0,0,0
evm.TU.Chr01.197,1600,3770,1082,1463,2896,2127,3941,2687,2529,1511,1494,3923,1588,4404,1712,3076,3146,2964
evm.TU.Chr01.199,103,165,10,131,2,59,2,118,163,11,4,0,44,146,1,88,22,21
evm.TU.Chr01.202,1379,4093,1857,3361,3467,3390,2298,2413,3658,3199,3358,2259,2800,3859,3234,2732,3066,3295
evm.TU.Chr01.204,45,2,2,5,30,0,0,0,5,0,0,3,0,0,0,0,347,4
evm.TU.Chr01.205,51,1,20,219,2,12,0,4,23,2,2,33,27,6,2,16,43,3
evm.TU.Chr01.206,131,0,4,16,22,2,6,0,1,0,0,16,4,6,1,0,846,10
evm.TU.Chr01.207,0,5,3,90,3,17,3,4,15,36,7,12,27,3,8,14,14,18
evm.TU.Chr01.208,35,26,20,81,22,19,34,48,30,13,27,90,10,11,45,16,7,24
evm.TU.Chr01.209,0,13,0,2,232,22,2,0,7,1,0,188,12,14,4,4,0,13
evm.TU.Chr01.210,0,0,0,686,16,0,0,1,11,2,2,3,32,0,1,0,0,0
evm.TU.Chr01.211,0,0,0,8,0,10,16,0,0,6,3,11,12,0,0,6,0,1
evm.TU.Chr01.213,21,4,32,3,0,0,11,3,8,1,1,0,8,5,0,6,6,2
evm.TU.Chr01.214,1,0,0,1,1,0,4,0,1,21,71,0,31,2,0,33,0,108
evm.TU.Chr01.216,0,18,7,1,0,2,84,3,0,0,17,36,9,34,8,6,0,0
evm.TU.Chr01.218,27,14,96,52,20,114,6,98,40,67,51,50,40,56,52,21,9,47
evm.TU.Chr01.219,10,2,36,2,3,32,3,10,3,95,19,4,43,96,11,6,6,6
evm.TU.Chr01.220,9,2,0,1,1,15,0,0,0,18,0,0,16,6,10,43,0,7
evm.TU.Chr01.221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
evm.TU.Chr01.222,11,16,10,8,0,10,1,21,42,34,37,31,5,19,8,36,36,13
evm.TU.Chr01.224,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
evm.TU.Chr01.225,0,0,0,0,0,1,0,0,6,3,5,1,1,0,0,3,0,0
evm.TU.Chr01.226,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5
evm.TU.Chr01.227,138,829,412,125,513,1134,658,542,787,1053,584,486,655,772,563,1182,832,1096
evm.TU.Chr01.228,0,0,2,1,15,2,12,2,9,4,2,1,2,9,7,4,20,8
evm.TU.Chr01.229,88,73,159,97,119,172,63,61,84,110,96,65,110,82,139,122,344,124
evm.TU.Chr01.230,296,367,522,130,266,305,505,320,547,518,654,368,249,241,274,518,93,484
evm.TU.Chr01.231,1687,3208,2899,1114,2735,2318,2889,3364,4243,3048,4149,3764,1991,4406,4342,3241,4769,2975
evm.TU.Chr01.232,410,112,55,106,110,203,105,96,213,401,688,355,103,40,128,235,202,222
evm.TU.Chr01.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr01.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
evm.TU.Chr01.235,5,0,1,0,6,0,0,2,0,7,1,2,0,4,0,4,0,5
evm.TU.Chr01.236,6837,6302,4818,5147,6275,9566,4096,5440,7653,6100,5481,4469,5821,5917,5240,6826,6105,7982
evm.TU.Chr01.237,22,0,27,56,13,50,0,0,4,7,16,2,15,0,0,19,8,13
evm.TU.Chr01.238,79,88,56,53,30,20,29,73,53,11,13,105,20,0,75,18,122,44
evm.TU.Chr01.239,174,156,20,115,198,449,182,254,221,262,238,514,312,36,210,240,380,226
evm.TU.Chr01.240,0,1,0,1,12,5,0,5,1,0,0,0,0,2,1,0,6,2
evm.TU.Chr01.241,3,5,0,0,20,8,0,2,11,1,0,2,0,0,4,0,9,0
evm.TU.Chr01.242,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5
evm.TU.Chr01.243,1,9,1,0,0,0,5,24,0,5,0,22,0,1,0,0,2,3
evm.TU.Chr01.244,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
evm.TU.Chr01.245,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,2
evm.TU.Chr01.246,1,2,0,7,2,0,0,0,0,0,1,5,0,0,0,0,0,0
evm.TU.Chr01.247,7,2,32,42,6,8,90,18,34,0,16,84,0,10,28,15,34,18
evm.TU.Chr01.248,34,0,424,23,406,821,44,74,899,309,773,23,42,863,17,8,834,748
evm.TU.Chr01.250,532,4,116,1041,286,314,49,48,399,20,689,0,18,220,62,454,22,614
evm.TU.Chr01.251,57,0,52,422,94,109,13,14,88,3,354,2,57,20,6,206,4,178
evm.TU.Chr01.252,28,5,8,43,46,37,6,1,28,1,6,22,16,0,9,36,13,13
evm.TU.Chr01.253,0,3,0,1,1,1,0,2,5,0,1,3,4,2,0,0,0,0
evm.TU.Chr01.255,0,0,2,0,0,0,0,0,0,0,10,5,0,0,0,0,4,0
evm.TU.Chr01.256,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
evm.TU.Chr01.258,7,0,3,6,5,5,2,5,3,0,16,0,13,2,0,1,12,0
evm.TU.Chr01.259,58,5,26,11,19,25,4,4,29,7,4,18,13,0,24,55,75,35
evm.TU.Chr01.260,21,8,14,6,5,11,3,25,7,7,10,6,12,8,23,0,5,0
evm.TU.Chr01.262,0,0,2,28,0,0,3,0,0,2,0,2,2,4,1,3,1,0
evm.TU.Chr01.263,0,0,0,13,0,2,0,0,0,0,2,0,1,0,0,0,2,0
evm.TU.Chr01.264,0,0,0,1,0,6,0,0,0,1,1,0,0,0,0,2,0,2
evm.TU.Chr01.265,978,1337,615,1410,1218,1400,528,1137,918,1025,964,1211,1033,1046,1472,999,1207,1079
evm.TU.Chr01.266,1,9,2,15,2,1,4,555,46,1,0,2,0,15,3,7,5,8
evm.TU.Chr01.267,926,377,717,437,512,739,275,662,867,730,585,605,560,748,632,719,802,641
evm.TU.Chr01.268,1614,1543,1814,1644,1402,1876,1326,1571,2013,1346,1526,1333,1228,1157,1583,1647,1272,1429
evm.TU.Chr01.273,1479,1347,1199,1299,1304,1075,1306,1260,1027,1057,1562,1830,797,977,1363,1142,2261,1156
evm.TU.Chr01.274,0,5,0,4,8,1,0,10,19,2,0,0,2,16,0,0,0,8
evm.TU.Chr01.275,1208,1466,971,1450,934,2251,914,1288,1532,2744,1791,2684,1729,1772,990,1687,1221,2155
evm.TU.Chr01.276,1605,5184,5745,5726,2640,4041,1712,2445,1803,6485,4099,1503,2922,6507,4305,6925,7437,7914
evm.TU.Chr01.280,553,665,518,575,811,502,660,549,407,3,415,316,450,239,603,485,627,553
evm.TU.Chr01.281,847,1556,3458,3111,835,326,575,1095,744,484,644,200,214,1616,3059,1306,6225,1349
evm.TU.Chr01.282,158,823,362,1218,293,382,129,623,274,459,785,270,217,1014,401,502,1765,729
evm.TU.Chr01.290,11,6,14,0,28,24,5416,762,0,314,57,1493,21,44,21,540,508,344
evm.TU.Chr01.294,0,0,0,9,0,0,44,854,6,138,168,984,4,8,0,395,264,206
evm.TU.Chr01.295,3,6,0,10,0,1,942,346,0,27,21,642,0,3,0,215,43,127
evm.TU.Chr01.296,0,0,0,6934,5915,0,0,0,0,0,0,0,0,0,0,2,6,2
evm.TU.Chr01.297_evm.TU.Chr01.298,152,14360,34,0,155,13682,5581,148,37,12,10443,38,10239,2828,167,7,149,20
evm.TU.Chr01.299,24,0,31,0,18,1,0,0,0,0,0,0,1,0,31,0,0,4
evm.TU.Chr01.300,0,27,11,17,0,0,13,4,22,0,1,34,0,1,0,0,3,0
evm.TU.Chr01.301,554,666,549,506,543,362,403,390,474,468,411,563,500,474,675,345,314,368
evm.TU.Chr01.302,1463,1251,1609,2036,1939,3407,1388,2032,1067,859,1177,1104,1372,676,1657,1013,1476,1003
evm.TU.Chr01.303,7,5,0,12,4,11,6,6,11,5,2,2,13,4,5,4,5,1
evm.TU.Chr01.304,1930,2128,1403,1643,2076,2162,5695,1224,1688,1991,2439,2796,1690,1551,1727,1253,1362,1974
evm.TU.Chr01.306,10,16,0,1,4,45,0,4,0,25,31,1,36,3,1,7,0,35
evm.TU.Chr01.307,0,0,0,369,0,0,0,0,8,0,0,1,0,0,2,0,2,0
evm.TU.Chr01.308,0,0,0,431,0,1,0,0,5,8,0,0,0,0,3,0,2,0
evm.TU.Chr01.310,2,11,7,4,3,2,6,1,11,0,1,10,4,6,0,0,12,6
evm.TU.Chr01.311,2490,2780,2335,1125,1895,3409,3272,2607,2353,2076,2690,2472,2187,2458,2382,1975,3128,1539
evm.TU.Chr01.312,615,1292,1083,530,606,896,1432,1039,1243,498,1007,1001,647,912,675,471,1448,586
evm.TU.Chr01.314,13220,10067,10731,14345,11088,11488,10512,9997,10367,9302,11804,9761,8222,9035,10438,9212,10230,10977
evm.TU.Chr01.315,4,1,4,0,0,4,4,9,13,2,4,13,2,1,17,0,18,0
evm.TU.Chr01.316,45,0,6,27,23,10,9,2,19,0,4,0,3,4,63,2,13,0
evm.TU.Chr01.317,13,0,4,0,2,0,2,3,18,0,0,4,0,2,1,0,0,0
evm.TU.Chr01.318,26,38,68,83,160,84,50,172,284,147,140,63,128,163,52,78,41,9
evm.TU.Chr01.319,1034,1374,1154,971,1655,1566,965,1066,1905,1164,2896,1419,1109,1321,1442,1197,1183,1374
evm.TU.Chr01.320,811,1126,757,896,1008,852,745,990,1020,935,1001,1327,791,1139,960,680,940,1037
evm.TU.Chr01.321,615,1003,1282,519,1780,1536,2047,1653,1722,1630,1965,1958,1503,2678,1689,1126,2660,1515
evm.TU.Chr01.323,7294,7784,8192,6399,8306,8695,11628,14731,6094,7751,7113,3564,6860,3350,4138,7194,5833,6210
evm.TU.Chr01.324,8533,14993,12166,6689,7100,20604,11588,11013,2906,12813,7690,1683,13315,5240,8593,11298,3962,9816
evm.TU.Chr01.325,13,92,40,19,3,67,125,88,58,71,15,121,23,16,6,21,43,98
evm.TU.Chr01.326,2,0,0,21,7,6,2,3,0,1,7,3,7,0,1,0,2,0
evm.TU.Chr01.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr01.329,10626,12260,3881,9454,4775,8628,3636,6137,2075,9944,2694,8984,7421,3423,3528,7316,3147,3456
evm.TU.Chr01.332_evm.TU.Chr01.330,5216,6925,2739,2718,882,1612,805,1681,959,2652,162,2307,2319,134,1462,990,427,717
evm.TU.Chr01.331,16959,11659,4359,2490,2525,3402,4930,3812,2062,3287,447,4231,3802,254,1840,2347,1787,2987
evm.TU.Chr01.333,1,0,0,12,1,0,12,0,8,0,0,3,4,6,14,1,967,1
evm.TU.Chr01.334,2038,1066,1336,1367,735,1828,1063,1546,1325,1231,774,539,1275,511,986,1249,657,884
evm.TU.Chr01.335,12,0,2,2,0,0,6,0,0,2,1,0,0,6,2,5,2,2
evm.TU.Chr01.336,17,34,10,84,68,76,32,220,53,58,58,17,77,52,55,67,60,38
evm.TU.Chr01.337,111,24,92,93,83,59,161,60,6,15,0,64,104,31,73,6,8,96
evm.TU.Chr01.338,28,0,8,30,0,0,0,8,0,0,0,1,1,0,3,0,8,5
evm.TU.Chr01.339,116,169,32,173,78,53,71,40,78,121,122,102,171,64,96,56,71,72
evm.TU.Chr01.340,51,91,100,99,106,101,94,81,72,144,172,150,104,92,192,135,136,74
evm.TU.Chr01.341,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,2,0
evm.TU.Chr01.342,106,344,9,244,493,53,4218,4,201,292,194,115,217,94,194,368,4679,204
evm.TU.Chr01.344,36,147,2372,1046,192,13,12,2303,1457,4,49,4408,26,14,39,336,900,3069
evm.TU.Chr01.345,0,34,0,0,46,7,3,3,3,1,0,0,1,0,5,0,0,0
evm.TU.Chr01.346,583,1274,922,2031,1448,71,867,347,596,48,110,35,80,185,957,27,455,177
evm.TU.Chr01.347,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
evm.TU.Chr01.349,6121,4761,1846,2915,3421,3373,3391,3005,3007,2998,3741,4517,2825,3653,3318,3039,3074,2746
evm.TU.Chr01.350,68,236,43,351,115,150,49,78,135,175,78,147,70,58,25,76,201,32
evm.TU.Chr01.351,293,58,277,33,130,259,24,183,138,83,138,152,118,109,99,106,84,175
evm.TU.Chr01.352,10,49,14,9,16,59,8,21,15,25,30,10,34,24,25,26,18,13
evm.TU.Chr01.353,2841,2977,2966,2182,4145,5112,3552,3694,5434,3894,4792,5445,3038,4622,4240,4193,3870,4087
evm.TU.Chr01.354,3,7,9,0,2,10,0,8,0,4,0,15,12,1,0,6,19,13
evm.TU.Chr01.355,55,1,63,61,33,3,40,129,10,3,16,21,3,18,75,8,58,12
evm.TU.Chr01.356,225,210,343,590,2,306,15,289,125,284,461,100,168,307,222,370,256,270
evm.TU.Chr01.357,18,31,49,151,9,0,15,20,86,0,4,17,0,80,20,1,39,2
evm.TU.Chr01.360,0,8,0,0,0,0,8,3,12,0,0,6,0,0,0,0,8,10
evm.TU.Chr01.361,1434,377,657,891,793,473,188,1423,1008,137,247,671,255,702,1293,655,903,865
evm.TU.Chr01.362,108,5,43,173,23,1,125,337,11,2,89,23,1,100,58,28,111,11
evm.TU.Chr01.363,509,252,360,271,185,132,75,332,183,101,89,241,47,55,80,342,91,176
evm.TU.Chr01.364,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
evm.TU.Chr01.365,1859,2449,2168,1465,1820,2917,2572,2256,2545,1732,2103,2304,1842,2053,2684,2124,2886,1757
evm.TU.Chr01.366,1479,1214,811,1207,1208,1120,1170,1054,1336,914,1144,1270,850,1058,1044,1134,1153,1491
evm.TU.Chr01.367,2315,1852,3093,1238,2645,3675,2429,1832,4449,1420,1932,1473,2042,2076,2439,1060,3129,1405
evm.TU.Chr01.368,631,1117,725,693,736,1456,591,1110,1977,1359,813,737,892,1036,819,873,866,465
evm.TU.Chr01.372,62,477,85,75,91,1303,679,22,151,560,228,73,654,215,107,365,24,188
evm.TU.Chr01.373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr01.374,1781,925,295,829,756,1155,950,462,1341,1657,1836,1193,888,1705,1892,1137,789,1089
evm.TU.Chr01.375,3131,4739,3897,7245,4266,5667,3596,3265,3706,4418,4069,4998,4039,3630,3707,4022,4519,3695
evm.TU.Chr01.376,1,0,2,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0
evm.TU.Chr01.377,2,0,0,2,1,0,0,0,0,0,0,8,0,0,6,0,1,0
evm.TU.Chr01.378,996,1259,1440,1194,960,2449,1257,1394,1673,2111,1771,1484,1552,1333,1144,1779,1903,1405
evm.TU.Chr01.379,111,515,149,114,192,368,371,134,298,453,255,281,259,298,215,266,349,213
evm.TU.Chr01.380,5,53,2,7,2,1,3,16,48,3,0,9,0,0,4,6,0,6
evm.TU.Chr01.381,464,0,90,0,257,0,328,0,712,0,0,371,0,0,657,0,1,348
evm.TU.Chr01.382,17,46,221,17,39,53,46,70,40,15,40,17,10,31,32,16,13,16
evm.TU.Chr01.383,358,188,93,262,131,216,92,114,373,52,62,161,53,57,201,110,64,109
evm.TU.Chr01.384,532,748,637,518,735,710,658,648,552,185,336,700,370,618,496,632,458,529
evm.TU.Chr01.385,3925,3780,2701,3195,3442,3595,3083,3365,4175,2617,3110,3786,2603,3099,3297,2790,3205,2816
evm.TU.Chr01.387,7,4,0,6,0,0,0,5,0,0,0,1,1,0,3,0,1,0
evm.TU.Chr01.388,32,27,16,28,56,41,29,9,48,20,34,34,6,22,12,14,30,44
evm.TU.Chr01.389,158,475,307,250,144,349,219,285,186,168,211,304,251,302,153,154,434,125
evm.TU.Chr01.390,249,426,253,364,50,455,294,235,191,78,123,237,203,78,197,59,884,136
evm.TU.Chr01.392,4,10,16,59,7,5,7,2,0,3,2,4,1,3,8,0,7,2
evm.TU.Chr01.395,3,0,14,0,0,5,0,1,0,0,0,0,0,5,24,0,0,0
evm.TU.Chr01.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
evm.TU.Chr01.397,6,14,12,13,4,9,9,6,6,0,6,16,6,8,10,0,4,4
evm.TU.Chr01.398,2327,2362,2054,1019,1857,1722,2540,1537,2441,1600,1716,2444,1090,1798,1832,1503,2181,1770
evm.TU.Chr01.399,329,363,469,581,551,695,243,553,203,329,628,500,393,452,355,438,328,288
evm.TU.Chr01.402,3,2,16,0,1,40,0,2,0,0,2,2,10,9,6,8,0,2
evm.TU.Chr01.404,6927,7002,6629,5399,6601,8089,4901,4831,7216,7703,10786,7684,6346,8044,6854,6108,6637,5340
evm.TU.Chr01.405,0,4,0,2,3,8,2,12,1,2,5,0,2,2,0,5,12,0
evm.TU.Chr01.406,2,483,35,72,7,6,168,24,28,0,96,351,0,127,9,0,22,0
evm.TU.Chr01.407,173,375,241,102,78,166,480,587,49,4,109,98,53,125,121,11,9,8
evm.TU.Chr01.408,0,375,1897,474,0,515,456,706,417,0,99,195,478,178,0,1,0,38
evm.TU.Chr01.409,2823,1798,8707,4300,4587,1484,2650,2668,6477,1619,2286,664,800,1115,1931,3037,1113,6287
evm.TU.Chr01.410,1,48,27,0,0,0,0,2,2,17,0,0,6,2,31,36,4,1
evm.TU.Chr01.413,21,140,238,162,65,77,1378,174,55,34,34,72,102,41,21,184,840,115
evm.TU.Chr01.414,1616,604,1456,9927,341,1170,192,188,760,122,493,165,200,385,544,546,261,147
evm.TU.Chr01.415,859,172,125,634,274,45,557,18,35,0,41,26,41,38,651,121,105,68
evm.TU.Chr01.416,22,48,57,202,46,31,129,3,105,21,36,24,10,21,13,14,28,30
evm.TU.Chr01.417,422,30,61,381,114,22,62,25,57,3,55,21,3,41,111,24,14,4
evm.TU.Chr01.418,0,0,0,41,0,2,4,0,0,0,0,0,0,2,0,0,0,0
evm.TU.Chr01.419,277,410,991,528,290,265,660,421,308,222,174,287,235,151,190,395,667,439
evm.TU.Chr01.420,18,4,0,39,57,112,45,50,103,73,75,186,86,152,0,10,72,12
evm.TU.Chr01.422,828,12,317,86,378,50,426,293,89,110,123,0,65,40,82,69,17,26
evm.TU.Chr01.426,24,5,10,20,22,4,4,23,14,28,21,3,16,25,19,13,23,5
evm.TU.Chr01.427,1,12,0,0,0,28,4,0,12,1,9,0,0,13,0,0,2,0
evm.TU.Chr01.428,3,5,0,15,0,96,3,9,84,0,47,2,2,74,7,0,6,4
evm.TU.Chr01.429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr01.431,1,1,1,10,0,14,13,3,0,14,11,9,11,1,0,15,32,1
evm.TU.Chr01.432,0,2,0,22,3,1,2,0,7,0,1,0,2,0,0,4,1,0
evm.TU.Chr01.434,6,5,18,13,66,7,8,9,29,7,16,36,1,5,13,12,15,27
evm.TU.Chr01.435,147,347,1026,448,168,219,716,364,165,121,182,82,154,205,104,316,565,419
evm.TU.Chr01.436,57,142,144,4061,13,708,110,71,145,33,25,11,56,11,10,92,108,25
evm.TU.Chr01.437,103,293,595,496,25,210,338,67,164,13,33,510,37,244,43,47,20,25
evm.TU.Chr01.438,2152,289,2301,8088,799,795,1544,308,1278,490,647,691,338,702,1212,1752,79,326
evm.TU.Chr01.439,2354,424,468,4689,461,518,404,253,279,106,297,201,66,604,626,582,178,337
evm.TU.Chr01.440,23,17,7,10,41,49,42,4,7752,18,4,74,35,13,24,1304,1536,609
evm.TU.Chr01.441,75572,124927,72170,63524,129517,123593,118286,103942,107583,102158,119175,100741,85223,161126,136316,109569,109865,88879
evm.TU.Chr01.442,327,473,396,367,378,373,334,399,472,344,423,458,248,455,552,427,369,353
evm.TU.Chr01.443,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2
evm.TU.Chr01.444,17,12,36,9,2,16,3,6,44,7,15,41,8,6,10,4,35,15
evm.TU.Chr01.445,1159,793,1320,407,546,1309,390,672,2050,982,1047,3013,775,913,2291,1063,1167,2918
evm.TU.Chr01.446,3491,4371,3831,1467,4997,6950,3095,5597,5004,2501,3323,7640,4842,3789,6456,2294,3270,5380
evm.TU.Chr01.447,8884,12863,0,19551,9346,2,0,1152,16927,4,98,0,0,67,15321,20992,4376,18478
evm.TU.Chr01.448,1034,1080,1106,1256,860,1260,988,567,1205,583,1055,2028,695,892,1219,817,1029,925
evm.TU.Chr01.449,6137,7387,5363,4175,7077,6715,6020,7236,7651,6056,7954,8058,5597,7823,5713,4809,6787,6558
evm.TU.Chr01.450,4633,4990,3435,3779,4892,5544,4668,5423,5013,4731,5857,5694,4439,5430,5112,4282,5037,5693
evm.TU.Chr01.451,6036,12578,8634,3404,13602,13035,15445,12694,9918,10647,13834,11314,11768,18912,12026,11380,15104,11158
evm.TU.Chr01.452,1290,892,3132,1371,699,2285,412,2295,2037,774,2250,2665,690,2227,1109,1871,1165,1936
evm.TU.Chr01.453,151,3,136,0,192,0,15,0,4,0,206,0,0,202,185,0,0,0
evm.TU.Chr01.455,39,0,155,0,46,0,0,3,1,6,118,0,4,152,31,0,0,0
evm.TU.Chr01.456,45,473,126,451,47,107,1816,122,744,97,67,567,46,92,72,68,48,46
evm.TU.Chr01.457,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
evm.TU.Chr01.458,0,1775,13,1641,2,80,310,3893,5372,0,0,1559,68,11,0,150,34,79
evm.TU.Chr01.459,0,7,43,75,0,50,3,1164,2113,0,0,123,28,11,0,0,13,3
evm.TU.Chr01.460,8,10978,10,7059,6,37,0,2910,3332,0,0,6894,14,10,0,27759,26,49019
evm.TU.Chr01.462,38,15,2,0,1,39,98,4,9,44,93,16,45,7,24,12,11,34
evm.TU.Chr01.463,5,0,0,2,0,151,11,0,0,0,0,0,0,1,0,2,1,3
evm.TU.Chr01.464,76,2,12,15,0,154,50,34,18,28,73,38,30,46,30,22,12,9
evm.TU.Chr01.465,2,0,0,8,4,2,22,0,0,0,0,6,0,0,8,8,0,0
evm.TU.Chr01.466,7124,8062,9817,7291,6448,9367,9039,7391,9529,6638,9126,7145,6302,7808,7883,7461,8765,8973
evm.TU.Chr01.467,1084,985,913,1221,889,1128,1084,873,1190,840,795,1242,751,860,1129,1031,914,1258
evm.TU.Chr01.468,331,349,359,510,231,337,367,370,434,202,330,371,262,316,404,355,467,349
evm.TU.Chr01.469,2501,3940,2337,2588,3166,2725,2229,2473,3218,2349,2955,3537,2131,2811,2305,1971,2346,3268
evm.TU.Chr01.470,6,0,0,11,3,10,0,2,7,0,10,0,6,30,3,1,0,7
evm.TU.Chr01.471,7,3,4,71,7,25,0,0,72,0,0,0,12,13,5,0,0,10
evm.TU.Chr01.473,0,0,2,29,0,0,0,0,4,0,0,0,2,1,1,0,0,0
evm.TU.Chr01.476,0,0,3,0,0,18,0,0,2,0,0,0,10,0,1,0,0,0
evm.TU.Chr01.478,0,0,26,13,0,18,0,0,0,0,0,0,1,1,8,0,0,1
evm.TU.Chr01.481,224,319,700,116,400,1007,484,224,1172,613,561,216,774,0,257,720,60,1502
evm.TU.Chr01.482_evm.TU.Chr01.483,400,267,452,383,298,509,236,781,741,320,754,522,343,588,345,596,191,1065
evm.TU.Chr01.484,2,0,0,2,2,0,0,0,0,0,0,0,0,2,1,1,1,2
evm.TU.Chr01.487,1547,1667,1693,3468,2002,1467,2007,1608,2203,1387,1523,3445,1181,1339,1805,2410,2549,2511
evm.TU.Chr01.488,0,0,15,0,7,0,4,7,4,0,5,253,0,2,2,6,412,2
evm.TU.Chr01.489,132,131,84,149,193,89,109,61,130,85,98,161,49,92,142,57,147,92
